paramid,PIndPriCnt,covmode,covtyp,kmnsinit,nK,selscores,ensscores,ensweights
0,5,individual,full,20,22,-8227.15735354578,-8227.15735354578,2.929740155149631e-29
1,5,individual,full,20,21,-8161.457299583799,-8161.457299583799,1.0
2,5,individual,full,20,20,-8271.314583910882,-8271.314583910882,1.9479940223972975e-48
3,5,individual,full,20,19,-8324.871218829972,-8324.871218829972,1.0721032318757546e-71
4,5,individual,full,20,18,-8327.599186623856,-8327.599186623856,7.006405124782595e-73
5,5,individual,full,20,17,-8439.49303144493,-8439.49303144493,1.780803008858305e-121
6,5,individual,full,20,16,-8433.799212199738,-8433.799212199738,5.289445660758785e-119
7,5,individual,full,20,15,-8591.023621365859,-8591.023621365859,2.7651381783884984e-187
8,5,individual,full,20,14,-8634.861261917125,-8634.861261917125,2.5308793801825165e-206
9,5,individual,full,20,13,-8896.481984797116,-8896.481984797116,0.0
10,5,individual,full,20,12,-9014.97099749194,-9014.97099749194,0.0
11,5,individual,full,20,11,-9208.773871036055,-9208.773871036055,0.0
12,5,individual,full,20,10,-9243.887467451981,-9243.887467451981,0.0
13,5,individual,full,20,9,-9590.67592849496,-9590.67592849496,0.0
14,5,individual,full,20,8,-9970.752039953915,-9970.752039953915,0.0
15,5,individual,full,20,7,-10505.212041704921,-10505.212041704921,0.0
16,5,individual,full,20,6,-11289.070248068569,-11289.070248068569,0.0
17,5,individual,full,20,5,-12254.579744286815,-12254.579744286815,0.0
18,5,individual,full,20,4,-14459.635672799885,-14459.635672799885,0.0
19,5,individual,full,20,3,-17106.791695013537,-17106.791695013537,0.0
20,5,individual,full,20,2,-22189.71065192784,-22189.71065192784,0.0
21,5,individual,full,20,1,-29358.003995952906,-29358.003995952906,0.0
