meanscore,sumscore,covariance_type,n_components
-14.33052918279794,-286.6105836559588,full,25
-14.238107769078471,-284.7621553815694,full,24
-14.257061009087968,-285.14122018175937,full,23
-14.210572428681782,-284.21144857363566,full,22
-14.207899938925332,-284.15799877850657,full,21
-14.110921712214221,-282.2184342442845,full,20
-14.062106877003696,-281.24213754007394,full,19
-13.994781473998533,-279.89562947997064,full,18
-13.989279237689862,-279.7855847537973,full,17
-13.930974665045863,-278.61949330091727,full,16
-13.928391614328053,-278.56783228656104,full,15
-13.86859829562297,-277.3719659124595,full,14
-13.83272679119538,-276.6545358239076,full,13
-13.803818026035305,-276.0763605207061,full,12
-13.76026006851404,-275.2052013702808,full,11
-13.721160551417176,-274.4232110283436,full,10
-13.696871405028881,-273.9374281005776,full,9
-13.661500652463214,-273.23001304926436,full,8
-13.651939760150617,-273.0387952030124,full,7
-13.613582050040444,-272.27164100080887,full,6
-13.623699494508097,-272.47398989016193,full,5
-13.612638808301089,-272.25277616602176,full,4
-13.679391902186406,-273.58783804372814,full,3
-13.842925390000559,-276.8585078000112,full,2
-14.228747368839441,-284.5749473767888,full,1
