paramid,PIndPriCnt,covmode,covtyp,kmnsinit,nK,selscores,ensscores,ensweights
0,5,individual,full,20,20,-77947.22821125822,-77947.22821125822,3.8628274871231527e-241
1,5,individual,full,20,19,-77892.66651506152,-77892.66651506152,1.917559703300701e-217
2,5,individual,full,20,18,-77972.55474335709,-77972.55474335709,3.8701890230036105e-252
3,5,individual,full,20,17,-77830.80325794237,-77830.80325794237,1.4113024452901465e-190
4,5,individual,full,20,16,-77848.22959000926,-77848.22959000926,3.814698666652739e-198
5,5,individual,full,20,15,-77639.8781971383,-77639.8781971383,1.1676709030961648e-107
6,5,individual,full,20,14,-77653.83769033276,-77653.83769033276,1.0110894846610198e-113
7,5,individual,full,20,13,-77416.81890754671,-77416.81890754671,8.724470231727322e-11
8,5,individual,full,20,12,-77586.00068678225,-77586.00068678225,2.9243268014396374e-84
9,5,individual,full,20,11,-77533.31605732755,-77533.31605732755,2.221619904884178e-61
10,5,individual,full,20,10,-77393.65660327168,-77393.65660327168,0.9999999999127553
11,5,individual,full,20,9,-77535.06715276447,-77535.06715276447,3.856369792713407e-62
12,5,individual,full,20,8,-77728.76557074494,-77728.76557074494,2.9108819293676645e-146
13,5,individual,full,20,7,-78067.72101921061,-78067.72101921061,1.8094380152142272e-293
14,5,individual,full,20,6,-77764.87318409103,-77764.87318409103,6.062997080699249e-162
15,5,individual,full,20,5,-78022.46660010735,-78022.46660010735,8.152451215021668e-274
16,5,individual,full,20,4,-79257.94480734531,-79257.94480734531,0.0
17,5,individual,full,20,3,-80202.88297120026,-80202.88297120026,0.0
18,5,individual,full,20,2,-81023.74601031336,-81023.74601031336,0.0
19,5,individual,full,20,1,-101762.59236891124,-101762.59236891124,0.0
