ExpID,y_true,y_prob,y_pred,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
A1A5C7_O75882,1,0.9816768,1,0.547493,1.9350626,0.6572443,1.1287731,0.95478964,0.47748634,0.41635096,4.695014,0.35350105,7.1429543,3.717954,7.229299,0.80824745,6.8673587,5.539034,6.113858,4.4896684,0.7837943,0.36957473,7.7148676,3.4667618,2.5835118,5.7151523,3.2010481,0.34027594,2.9442594,6.7302856,2.0289493,6.800453,6.1352463,2.5112927,0.7792995,13.79285,4.29582,0.26796696,0.6087985,3.236309,0.65155315,5.537806,0.91862833,1.1366401,0.3807937,0.34936464,0.40845802,0.64467186,0.43661496,8.730476,6.579289,2.2764695,0.20075843,1.8178167,1.9042591,0.7025496,2.4030504,12.326405,0.2871753,6.1424727,0.41701928,1.2141644,0.6746243,0.3755998,0.4662717,0.06194562,0.37695166,6.3683143,0.4462162,4.828731,7.496696,8.987624,1.0202148,0.46737897,0.3427722,7.119398,14.540061,0.45882154,0.49448967,2.746175,0.59542704,1.5560956,4.7041574,0.6054579,6.626028,6.464401,5.695813,4.200599,4.055207,10.241856,2.5992372,6.6979203,12.063434,5.1020737,4.2027626,0.8523193,7.872531,2.1368647,5.086534,1.7801701,0.2975491,0.91339713,0.47948995,0.70403934,0.80904716,3.9396877,0.674456,0.3638318,8.785135,7.743697,4.032495,6.886361,10.916598,0.5068218,0.33405474,0.81588334,7.397516,0.31564468,0.46604154,4.582327,0.44323424,0.3809554,2.149593,0.6029461,1.7733635,-0.0011873709,1.9108837,0.35400212,0.93921417,0.86471087,2.4079056
A1A5C7_P23415,1,0.93732345,1,0.51556057,0.8535872,0.30013332,0.53056,0.89761096,0.3288241,0.41815674,3.0962138,0.35363612,3.4540002,2.446381,3.8651447,0.44246182,3.3730173,2.9868813,4.0516357,2.0757391,0.24755637,0.36934674,4.3665104,1.5892211,1.0716602,3.0015168,1.5676118,0.34020644,0.2523249,3.3803318,1.2559884,3.6348257,3.1901097,1.2369077,0.93770856,7.872295,1.9293928,0.25605133,0.30318043,2.1591973,0.3521006,2.634437,0.26880145,0.06093992,0.3809846,0.34841964,0.40905905,0.47419465,0.4355505,4.7439337,3.5519412,1.2098075,0.3501633,0.4852857,1.42497,0.75821733,0.8966314,7.144559,0.38775226,3.6719067,0.33930555,0.25352195,0.34642443,0.3856683,0.30916032,-0.0015277208,0.34166372,3.8399694,0.30428466,2.3003063,3.9776895,5.193542,-0.00014634906,-0.00066520274,0.34598708,3.560232,8.302594,0.44368446,0.4737766,1.2808208,0.5614439,0.6126267,2.4605033,0.57317716,3.3811524,4.1880164,3.273145,2.1746125,1.7536148,5.9473186,2.0846984,3.4187608,7.0637655,2.49218,1.6077561,0.81356615,4.949963,1.1298397,3.4244492,0.4350269,0.29358286,0.19920239,0.36124775,0.8909611,0.2977076,2.3809428,0.25095457,0.36510321,5.244994,4.737197,2.2186735,3.5126498,6.234647,0.5218949,0.34022576,0.28009817,3.6696653,0.28870556,0.39239174,2.262145,0.51043934,0.38121146,1.0545019,0.6012818,0.80170006,-0.0012289385,0.7216647,0.35720944,0.0148968175,0.5002083,1.8234985
A1A5C7_Q96EU7,1,0.22166273,0,0.44554806,0.47955418,1.5210323,0.4884818,0.9588295,0.52211946,0.41710925,0.3775236,0.3532685,0.3330168,0.18675794,0.7679469,1.1062626,1.4693826,0.5072046,0.2505546,0.53824806,1.0454983,0.3682433,0.37582126,0.51473635,0.36087617,-0.00055278244,0.679593,0.3411653,4.944722,0.45934558,0.26150912,0.51166517,0.5845523,0.18610904,0.7507393,-0.00035127017,1.2506455,0.4785669,0.63730353,0.616546,0.4783816,0.72647446,0.9321069,1.5475972,0.38237244,0.35606885,0.41022864,0.48520854,0.43753663,0.5245687,0.8354851,1.0236416,0.61587507,2.2083097,0.35692367,0.46377838,1.0663795,0.29938272,0.47119746,0.27851173,0.73610663,0.4826486,0.36161736,0.3891904,0.37916481,1.2997835,0.35661852,0.25403643,1.2049195,0.7944625,0.33948717,0.18138328,1.6662674,1.082736,0.41094628,1.5360084,0.2617822,0.38742363,0.4163585,0.54379517,0.32108158,0.64087707,0.58972955,0.4140928,0.9329663,0.32630235,-0.00078620954,0.27339578,0.8957578,0.20739181,0.4027376,0.52710885,0.23145513,1.1692235,0.107370034,0.39536715,0.2293268,0.4938897,0.36787292,1.0526935,0.3088834,0.70514345,0.39578736,0.5462515,0.5008288,1.158553,0.035135217,0.36293113,0.19769357,0.3575094,0.87636304,0.76617926,-0.00034827637,0.4473789,0.34499794,1.3436968,0.92132646,0.417025,0.3605579,0.84658825,0.37189424,0.38139287,0.35536927,0.6009435,1.1515393,0.7261593,0.6592072,0.36382174,0.7685388,0.59267014,0.49084032
A1A5C7_Q9H3U1,0,0.5483223,1,0.34293184,-0.002295334,0.29991743,0.24474442,0.094319105,0.3255025,0.41514996,0.46280104,0.35268182,0.021349678,0.48339394,0.053786464,0.44105935,-0.0010669793,-0.0003716648,0.5254158,-0.0011041266,0.24581447,0.36803344,0.52719486,-0.000984837,-0.0019841178,0.04096894,-0.0020516438,0.33970347,0.25375757,-0.00053699274,0.099742934,0.22045313,-0.0013528792,0.014310348,0.09532506,0.6075138,-0.0011022796,0.2560586,0.30150703,0.6224865,0.27015975,-0.0013786269,0.26910844,-0.00014737857,0.3804725,0.34758183,0.40745312,0.3523961,0.4347486,0.08569472,0.0071143033,-0.0016767563,0.079431556,-0.0015887669,0.48144197,0.4528656,-0.0019994525,0.9046503,0.17552865,0.44388178,0.33196804,-0.0026120152,0.32624018,0.3394438,0.3077848,-0.0016387054,0.30771405,0.77445155,0.30519503,-0.0016359155,0.46491653,0.8681329,-0.0019262675,-0.0015838492,0.34014064,-0.00025995198,0.81736666,0.33624187,0.30192226,-0.0015354308,0.11209872,-0.002706599,-0.0008394049,0.079022944,-0.001126178,0.525326,0.5234185,-0.0012581234,-0.0015059226,0.9814658,0.45299843,0.040070042,0.98450106,0.3511841,-0.0019282833,0.42494458,0.7399009,-0.0006805973,1.07193,-0.0017565086,0.27922514,-0.0012326147,0.28686187,0.8039781,-0.00091269787,0.33447337,-0.0013789764,0.35921082,0.7214481,1.118876,-0.0019414724,0.15345399,0.6398419,0.36853403,0.31293368,0.15156238,-0.00010993459,0.28642,0.31991085,0.37630215,0.29991877,0.38090655,-0.0014977722,0.60058266,-0.0019446457,-0.0012314271,-0.0016154634,0.35333872,-0.0025137593,-0.00053587847,0.8375663
A4IF30_O15020,0,0.24020274,0,0.44226116,0.51070297,0.90943617,0.8091095,0.54491097,0.5740868,0.41902295,0.382481,0.35505792,0.4701929,0.23299973,0.61813736,0.76729107,0.91365093,0.40008506,0.21713375,0.53595763,0.7194107,0.3691189,0.19718708,0.3647878,0.46102566,0.11465185,0.4929789,0.3418702,4.303736,0.39548674,0.20800555,0.9868313,0.53521246,0.24472678,0.60018986,0.0011872373,1.0492104,0.50137925,0.5518586,0.48705176,0.56258136,0.7074109,1.1129531,0.7683864,0.57539916,0.35096008,0.4085687,0.6122187,0.43677276,0.5447844,0.8528946,0.81191427,0.5145565,1.4231826,0.37861112,0.54971397,0.78887135,0.16957101,0.58095515,0.2755694,0.5883263,0.80797493,0.52350914,0.4059763,0.44631293,1.3279649,0.47337654,0.27859157,1.6841632,0.6974242,-0.00029557242,0.12318397,1.6849301,1.4332254,0.38105798,1.3829691,0.022301251,0.4473564,0.41342384,0.66811556,0.2998606,0.54449725,0.49583825,0.3647354,0.6659209,0.3309551,-0.0007111617,0.25833625,0.8575377,0.19978108,0.40433154,0.29152313,0.09182303,0.62407035,0.2885326,0.31450176,0.26946136,0.48606792,0.42890045,0.9246334,0.28656113,0.68359315,0.43498713,0.61411566,0.3419244,0.8000478,0.32249114,0.3648639,0.2605107,0.25090754,0.64678824,0.6505121,-0.0010619421,0.46166524,0.3163831,1.0291888,0.7230853,0.36884373,0.54641116,0.40625763,0.36459947,0.3821937,0.3664088,0.6014024,1.0679246,0.6315429,0.57488424,0.35687143,0.8248058,0.5914282,0.68014127
A4IF30_O43148,0,0.3695265,0,0.5312225,-0.001859472,0.5689074,0.24610701,0.7699761,0.53610176,0.41836917,0.37980026,0.3536046,-0.001992051,0.18259655,-0.0027292192,0.55025154,0.28252274,-0.0018864569,0.20721777,-0.0016141157,0.7013261,0.36895803,0.39292532,-0.0016191119,-0.0019411755,-0.00030275754,-0.0010949326,0.34085938,1.0025833,-0.0015948425,-0.0013673556,-0.0024489686,-0.0020101792,0.0038691945,0.56161153,-0.00035719338,-0.00016183588,0.3688958,0.42771074,0.44707003,0.546295,-0.0010385922,0.91237044,-0.0009051062,0.46219727,0.35186103,0.4078036,0.91340727,0.43465123,-0.0009920741,-0.00095584354,-0.0003012862,0.043271463,-1.4700088e-06,0.35402513,0.59907633,-0.001285293,0.07369848,0.15800217,0.27885324,0.44181877,0.011230881,0.7329599,0.385938,0.51342595,0.049210068,0.39436918,0.29286233,0.36429778,-0.0006452996,0.03380829,0.1555981,0.53706324,-0.0015617936,0.34273893,-1.6542812e-05,-0.0012405439,0.46527734,0.47622046,-0.0014991772,0.28491545,-0.0012416043,-0.0020374819,0.39891183,-7.0045e-05,0.32234704,-4.331489e-05,-0.0023210621,0.0014236878,0.13921362,0.4021064,-0.002498436,0.094187096,0.041213155,-0.0015644412,0.25683412,0.21964368,-0.0019239767,0.51188713,-0.00080604467,0.27153924,-0.0012346737,0.45403188,0.64362055,-0.002189813,0.35894027,-0.0010557625,0.3644333,0.17718272,0.20580892,0.14181407,0.085670836,-0.0014036362,0.4806246,0.3221048,0.68560666,0.059977274,0.38008952,0.4586821,0.27641195,0.43211445,0.38061127,-0.002656481,0.6004291,-0.00048295115,-0.0012297987,-0.0012186911,0.35297614,-8.2648556e-05,-0.0021043594,0.77963084
A4IF30_O76094,0,0.37967515,0,0.5437919,-0.0007010281,0.7415906,0.24806476,1.1763668,0.54338396,0.4176882,0.41231453,0.3536743,-0.0017212627,0.4227126,-0.00095587975,0.8714302,0.68983394,-0.00083724014,0.43496233,-0.0014666453,0.8590665,0.36913764,0.38281184,-0.0014839317,-0.0019544507,-0.00059432705,0.002490797,0.3406293,1.5794523,-0.0005197658,0.023088224,-0.0005775789,-0.0018073199,0.012488507,0.9958273,0.38356784,0.2599241,0.25634995,0.59254116,0.7418206,0.6331341,-0.00052760897,1.0807705,0.0007043586,0.49299318,0.3534153,0.408595,0.74650455,0.43643522,-0.00024180497,-0.00017786966,0.21064493,0.22894754,0.0986045,0.45403033,0.7302792,0.041136466,0.5708272,0.32025772,0.39555243,0.4964321,0.05067834,0.5890945,0.39811817,0.5206475,0.0021281391,0.363897,0.4717752,0.43889755,0.074174225,0.12677722,0.3746128,1.0174348,-0.0011180389,0.3684938,0.2758445,0.5431234,0.46603027,0.46460995,-0.0008811662,0.5215118,-0.0011842529,-0.0018724885,0.73715216,0.28692463,0.51620704,-1.47753435e-05,-0.0013561868,0.120156534,0.5579916,0.40097982,-0.0006976053,0.47009438,0.23904443,-0.0019979533,0.41269255,0.63674515,-0.0008937122,0.7270154,-0.0001660881,0.28893965,-0.0012346873,0.49805284,0.8159722,-0.0016400539,0.75738937,-0.001642062,0.3637179,0.596846,0.64475244,0.33823422,0.28712845,0.17945255,0.5670837,0.3259238,1.1268445,0.33935016,0.36705482,0.3795657,0.4506566,0.50414866,0.38115183,-0.0023222517,0.6010442,-0.00013603043,-0.0012316469,-0.00033878986,0.35626584,0.073959306,-0.0010058936,1.0027303
A4IF30_Q13098,0,0.2348374,0,0.5028681,0.19508296,1.1158196,0.24792494,0.8701484,0.52849364,0.41910028,0.3812295,0.3525851,-8.420739e-05,0.3127581,0.2754974,1.1301576,1.3099798,0.048365336,0.29953995,0.33062428,1.0261283,0.3686518,0.27401096,0.16709794,0.09631193,0.03566765,0.43030524,0.34159636,3.4881983,0.14031129,-0.0002778027,0.18164107,0.27139857,0.06421363,0.80745834,0.14928691,0.9328891,0.39185262,0.6254456,0.58292335,0.49402222,0.41129923,1.0883892,0.25655967,0.46104994,0.35296047,0.4078245,0.66354674,0.43456444,0.36337182,0.620088,0.42624792,0.12711607,0.7073499,0.393063,0.6532998,0.75928706,0.3826013,0.21228892,0.2798263,0.5503797,0.4505566,0.6246587,0.41332826,0.4099358,0.5930801,0.4022634,0.37461415,1.1143843,0.5028474,-0.00018432518,0.2490583,1.894156,0.76685524,0.3426909,1.3756447,0.30116037,0.45141512,0.473786,0.3780017,0.4195444,0.21626262,0.22560151,0.6010039,0.6490432,0.35094902,-0.0005379661,-0.0005898092,0.7370197,0.39255545,0.4020156,-0.00012997777,0.28765824,0.12747131,0.027785394,0.38309714,0.43476722,0.28704357,0.5052425,0.7211025,0.29019132,0.2918979,0.43693846,0.6038304,-0.00045731216,0.8240311,-0.0012817709,0.36575562,0.43945402,0.45813715,0.48395136,0.77793175,0.03304728,0.53708297,0.32798883,1.673958,0.8110476,0.38171864,0.45005912,0.42771474,0.47927937,0.38233083,-0.0013182999,0.5993694,0.73653466,0.27472857,0.5340617,0.35348383,0.6208746,0.14290078,0.77872586
A4IF30_Q14258,0,0.26433694,0,0.504417,0.28465298,0.87936276,0.74789816,0.9138441,0.43207073,0.41853192,0.38165495,0.35316008,0.1646911,0.23553479,0.50513035,1.1589828,1.0396188,0.30570263,0.22536768,0.25577223,0.9317742,0.3695934,0.21124195,0.24629954,0.25011474,0.037655372,0.305006,0.3427012,2.9768338,0.2557366,0.240774,0.33397993,0.23640725,0.13517624,0.86288625,0.013856206,0.62316394,0.5772973,0.7263518,0.60707766,0.6330011,0.5833156,0.96832097,0.5027331,0.46455193,0.35617316,0.40936372,0.7436587,0.43712583,0.23992757,0.5596834,0.78194666,0.48288682,0.9485009,0.38236797,0.67484057,0.671219,0.0819978,0.43108204,0.28128186,0.7711963,0.42542043,0.5467823,0.4879808,0.4511415,0.7701308,0.38742006,0.24374764,1.193508,0.49623516,0.038401924,0.16216028,1.425403,0.5979517,0.35189342,1.0994642,0.038891718,0.49160174,0.52935493,0.3736054,0.4083648,0.37610334,0.3780876,0.5679243,0.52008027,0.3334862,0.0030841536,0.15177977,0.6205608,0.13881658,0.40137348,0.27966958,0.1067834,0.30673674,0.038572535,0.32159126,0.28048468,0.36147588,0.52478737,0.75396585,0.27943772,0.5212923,0.43749696,0.68825597,0.28166038,0.7359492,-0.00085154787,0.3671104,0.2726039,0.20113993,0.49017775,0.58565676,-0.0014105698,0.46697435,0.3358768,1.270057,0.63239235,0.35857064,0.38511464,0.51422775,0.44611296,0.38114145,0.036266424,0.601105,0.79487115,0.52549666,0.3982347,0.35853577,0.5626517,0.44230145,0.7799587
A4IF30_Q16740,0,0.5014404,1,0.52521,-0.0017921507,0.40268254,0.24711558,0.73324394,0.32841665,0.41695577,0.5040514,0.35371614,-0.0011892709,0.49361613,-0.00012981109,0.44150555,-0.00069219386,-0.00080349366,0.5385943,-0.00091750926,0.29350507,0.36957735,0.47869825,-0.0012059413,-0.0019304259,0.07473929,-0.0019374713,0.34202987,0.25468034,-0.0011124172,0.06058096,-0.00012857349,-0.0011341183,0.012133022,0.5366553,0.54637897,-0.0022167405,0.256281,0.30268976,0.51460433,0.42242962,-0.0017486493,0.44991198,0.073387556,0.38401034,0.35047188,0.40836802,0.6282439,0.43628794,0.07912456,-0.0001459433,-0.0016700634,0.12898071,-0.00078618317,0.48313993,0.6284099,-0.0017580758,0.72666705,0.23319475,0.475583,0.34228864,-0.0012512536,0.45903686,0.37559682,0.3661948,-0.0015919269,0.36686626,0.53709614,0.2870863,-0.002342009,0.14904414,0.47631547,0.003333785,-0.0015568368,0.34139645,-0.00064114796,0.7408618,0.4487629,0.43115488,-0.001185529,0.33699957,-0.0015738629,-0.001295153,0.42681557,-0.0015268313,0.6425263,0.11934843,-0.0010638576,-0.0014895701,0.68153787,0.42965582,0.01078393,0.60867834,-4.1521205e-05,-0.0012052504,0.46431178,0.79581314,-0.00081375416,0.67105335,-0.0017392484,0.28561515,-0.0012372393,0.35176566,0.82864624,-0.0013045756,0.12021699,-0.0009242895,0.3644221,0.7325164,0.76953155,-0.0019223596,-0.0012617911,0.2862379,0.48682052,0.32138738,0.30346403,-0.0010247775,0.2894221,0.47824126,0.20566696,0.43571877,0.38211372,-0.0020610716,0.60166246,-0.0019157667,-0.001231765,-0.0016035733,0.35423014,-0.0014808263,-0.0011385396,0.77690834
