ExpID,y_true,y_prob,y_pred,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
A1A5C7_O75882,1,0.9462369,1,0.17864616,0.88916975,0.9365777,0.11122814,0.14141881,0.12829733,0.9553071,0.14971237,0.7540525,0.13364059,0.12736404,0.16676329,0.12259113,0.12882194,0.1273414,0.8757991,0.9555253,0.11907802,0.8892998,0.89241093,0.10741065,0.18017705,0.10563965,0.940423,0.15186232,0.10034741,0.9776195,0.10870303,0.1499135,0.08577664,0.10435371,0.9073497,0.15150502,0.11175027,0.87536645,0.0806385,0.13050625,0.11803886,0.82962334,0.16570982,0.96282184,0.10163171,0.10863431,0.9718006,0.10574183,0.9725298,0.118998036,0.87643915,1.0059975,0.92354715,0.9325182,0.9381524,0.94315934,0.113498,0.9235844,0.9096781,0.8498968,0.13794407,0.8996972,0.9227735,0.93018806,0.9665923,0.93846625,0.112847,0.105540775,0.9302249,0.09490402,0.080760054,0.95237,0.1482314,0.98790044,0.071150966,0.9516151,0.85129607,0.11457006,0.9518368,0.9250739,0.9554731,0.8740907,0.10859383,0.9349486,0.92745155,0.95599407,0.14493492,0.99566287,0.10450505,0.98781794,0.11108185,0.88266504,0.964186,0.09824657,0.1345129,0.9235385,0.92699766,0.9243879,0.9078888,0.9064908,0.1532752,0.8553615,0.90340334,0.10415688,0.88201827,1.0115671,0.83689535,0.1500859,0.9851227,0.11085159,0.09196649,0.19559786,0.111985356,0.09605061,0.13931829,0.12978184,0.9582014,0.17916809,0.9284884,0.08920715,0.8275513,0.113651074,0.108375184,0.9176114,0.8341772,0.1249143,0.15089318,0.12636808,0.09037604,0.8852942,0.15389992
A1A5C7_P23415,1,0.9456542,1,0.27810258,0.90007645,0.9523938,0.14224614,0.20039162,0.15136662,0.95519966,0.15454622,0.6859632,0.17726225,0.14405432,0.20472366,0.17550889,0.103677735,0.12800495,0.86142397,0.9749104,0.11452636,0.87683696,0.8582793,0.0963613,0.19003394,0.088451214,0.9505646,0.15876773,0.06985193,0.97921264,0.11058155,0.2026568,0.10718439,0.11231764,0.8982408,0.19091557,0.11432494,0.8855957,0.062458076,0.11024838,0.13606462,0.8097214,0.16791871,0.99664015,0.038336232,0.12345429,0.9855803,0.09601607,0.98839587,0.17630804,0.89366376,0.9578749,0.92491865,0.99537486,0.99420714,0.9097659,0.13926478,0.9596261,0.91256714,0.8345696,0.09899993,0.8856651,0.907959,0.90327984,0.95184493,0.90835136,0.121275716,0.08899246,0.9416738,0.1172959,0.06843078,0.9774558,0.18273865,0.9739502,0.038878154,0.9697807,0.82233745,0.15025435,0.96948934,0.9791535,0.972786,0.9121795,0.10979485,0.9136459,0.9144661,0.95814407,0.17344588,1.0260402,0.10218468,0.9373316,0.08434783,0.8520927,0.9593618,0.06759256,0.14062136,0.9504555,1.0022925,0.9198503,0.9042174,0.9626078,0.2041753,0.8478108,0.93014425,0.07675673,0.8841983,1.0213546,0.8709976,0.14532089,1.0011169,0.11297123,0.091145284,0.17837928,0.1469265,0.06326352,0.16979541,0.1619856,0.989736,0.16432555,0.91849905,0.13125464,0.8016359,0.092581324,0.12782487,0.9112178,0.827035,0.18351243,0.16684857,0.0803217,0.11314636,0.8569196,0.12713729
A1A5C7_Q96EU7,1,0.33629516,0,0.39997733,0.17472196,0.1590355,0.37519374,0.31907177,0.3895417,0.14952956,0.4197978,0.2323448,0.36956277,0.39879218,0.40237463,0.3674086,0.3728338,0.34957173,0.17670946,0.13584244,0.3939468,0.16188876,0.17509246,0.30105895,0.40215486,0.3542215,0.1891147,0.34809268,0.3186355,0.15211055,0.39128384,0.43444434,0.33165884,0.32214373,0.183271,0.36686695,0.3804814,0.14983495,0.25656882,0.37866494,0.36987466,0.18444785,0.36033195,0.14882797,0.28978404,0.35053748,0.14130186,0.32910648,0.15937397,0.3705896,0.1181241,0.13686363,0.12580848,0.21244533,0.098361924,0.114045516,0.3832878,0.15426938,0.15177415,0.14330256,0.3952539,0.2017585,0.14983466,0.2077533,0.16075714,0.16291769,0.32408616,0.3825393,0.13012904,0.31210288,0.37991667,0.14323717,0.3619076,0.15575503,0.24816166,0.12913738,0.18311688,0.3055002,0.15055063,0.13181706,0.11577173,0.15335009,0.3761578,0.12140686,0.10115163,0.11956648,0.3993079,0.14073434,0.2960468,0.16018653,0.36681843,0.10305509,0.14024162,0.3075472,0.3778046,0.15958717,0.17199993,0.2426011,0.13879219,0.1882795,0.3956809,0.14265153,0.17726098,0.40123805,0.18441607,0.11987266,0.194033,0.38080087,0.14875367,0.3652494,0.43918255,0.2466252,0.30669075,0.33795324,0.33664435,0.3266404,0.18823841,0.38437763,0.11133049,0.3878074,0.15825748,0.39744732,0.3701473,0.10922318,0.14310193,0.3806723,0.40991867,0.3764597,0.30363405,0.16848385,0.35548422
A1A5C7_Q9H3U1,0,0.80644685,1,0.37008893,0.5073956,0.6038466,0.14866038,0.19730376,0.19664766,0.5889347,0.15383388,0.45717934,0.25961027,0.17271607,0.2301628,0.23860134,0.1236415,0.15406659,0.5483985,0.5116769,0.12691906,0.55405754,0.4978505,0.15088111,0.18890393,0.06252278,0.50748986,0.16750748,0.097108014,0.56277686,0.08294796,0.1924395,0.13942893,0.15111162,0.6077366,0.19031334,0.14485554,0.5522756,0.08367304,0.1366546,0.15417759,0.5064398,0.19977354,0.6661375,0.04120226,0.14480655,0.5780332,0.10571706,0.581137,0.20817192,0.5770814,0.52482015,0.53063816,0.51040524,0.57967854,0.49976465,0.17594747,0.59990907,0.53408486,0.47682822,0.167982,0.52306896,0.5235157,0.52980965,0.54628664,0.47057378,0.12194762,0.13405865,0.54553515,0.1537403,0.043068457,0.53344214,0.24212365,0.6096645,0.070713185,0.58118224,0.53391534,0.21190763,0.5356109,0.46928802,0.53469414,0.5350186,0.15544693,0.56009865,0.51099247,0.59444493,0.1672674,0.58576864,0.11294219,0.49310437,0.06324405,0.5509774,0.54511756,0.07429947,0.1371932,0.506994,0.6087927,0.56327206,0.504932,0.55521065,0.21332896,0.51767534,0.55669147,0.07787407,0.4459255,0.57207185,0.5345848,0.16568185,0.59424406,0.12063831,0.11731366,0.20560758,0.17009391,0.081723414,0.18817754,0.25031912,0.5769984,0.19425607,0.57001793,0.1121934,0.48707464,0.11680559,0.13723405,0.55737406,0.4929872,0.20569678,0.20238782,0.061341655,0.103660755,0.4271736,0.108644485
A4IF30_O15020,0,0.24329185,0,0.6765977,0.09600436,0.12457574,0.5899561,0.6138422,0.48680604,0.12044554,0.49431238,0.11697457,0.5445771,0.43630546,0.5724204,0.5527092,0.43936688,0.41417882,0.08649819,0.085410364,0.40032357,0.071666576,0.0836367,0.4136236,0.53016394,0.32304612,0.09794593,0.52276564,0.31484967,0.09423863,0.34510428,0.50429755,0.49785748,0.36204177,0.17458487,0.48115727,0.43816596,0.12001823,0.3437436,0.405345,0.49323672,0.11379984,0.42576465,0.13484491,0.26737404,0.36794758,0.09836748,0.4268704,0.09405454,0.51569325,0.14996764,0.101045564,0.11035376,0.1037107,0.09778411,0.13181324,0.48206842,0.16528705,0.117604285,0.086688556,0.40547186,0.093541086,0.11365811,0.10301273,0.08748275,0.096457995,0.41820413,0.45402864,0.092695996,0.5593725,0.4279868,0.098464794,0.46468076,0.083871506,0.26521719,0.10447747,0.11172956,0.47710514,0.08663608,0.09356481,0.088200845,0.15482445,0.5390445,0.102410294,0.10169611,0.21314907,0.46183828,0.13139643,0.36916977,0.08672964,0.38737842,0.08840623,0.11731458,0.2882628,0.3664209,0.08869275,0.10130035,0.1106851,0.1173518,0.13074839,0.6115422,0.090825506,0.107529014,0.4263311,0.08517397,0.10419724,0.1386814,0.46099004,0.15140061,0.3792118,0.33311585,0.37983382,0.49311417,0.3684216,0.51201683,0.48067293,0.10859891,0.36205503,0.106939524,0.5031438,0.110250145,0.434264,0.4914388,0.106765926,0.07266137,0.5236014,0.5505289,0.33037648,0.45374492,0.080413826,0.50798404
A4IF30_O43148,0,0.22620827,0,0.5678917,0.039666023,0.034127314,0.61964023,0.51530904,0.45609775,0.03680259,0.4337819,0.1365497,0.4191035,0.45146617,0.4826518,0.4485289,0.43034986,0.38998917,0.036650684,0.025070863,0.44970208,0.030272065,0.026955687,0.3243499,0.4738184,0.36309755,0.0458287,0.43468976,0.27294326,0.018716298,0.4621153,0.53795767,0.39321023,0.3152322,0.06739501,0.42958447,0.42136693,0.035815768,0.25624898,0.36642402,0.42039743,0.03842028,0.3974544,0.025835263,0.26005858,0.33987147,0.024260618,0.25840065,0.017625645,0.47973132,0.037085332,0.021467833,0.029475624,0.036105886,0.019598175,0.029387906,0.5507831,0.046877507,0.033356823,0.02016318,0.38129166,0.05451901,0.026623676,0.06786542,0.03373882,0.028527347,0.29753172,0.456547,0.011975739,0.31312564,0.43329474,0.01545651,0.38292304,0.023432666,0.17599943,0.011455295,0.038740136,0.34574223,0.027268182,0.0070121945,0.011689823,0.048474852,0.38664433,0.022544555,0.018800521,0.0677275,0.5233975,0.035844047,0.28567928,0.031096902,0.31136066,0.01532174,0.019493751,0.2888963,0.38294497,0.027848085,0.021818297,0.07785576,0.03675428,0.048471477,0.5438672,0.020790402,0.03721538,0.45980203,0.029756827,0.013887231,0.034879956,0.4371684,0.048865996,0.36095634,0.38803458,0.2608548,0.47299463,0.28783673,0.41625506,0.3613825,0.0380419,0.3367593,0.013112448,0.4350298,0.033994496,0.37842572,0.39719477,0.017240297,0.018859548,0.5124748,0.5398924,0.364328,0.2666523,0.031530913,0.36588708
A4IF30_O76094,0,0.2528728,0,0.54538065,0.070965976,0.101878546,0.4485817,0.51443374,0.39577618,0.1112843,0.4558985,0.08432151,0.43446892,0.4477641,0.45310882,0.42186406,0.45662427,0.41196555,0.07491852,0.07345299,0.45384172,0.05911514,0.06700129,0.30464005,0.50431037,0.36595026,0.10091568,0.41145173,0.3258283,0.08054632,0.5365874,0.50994444,0.36060953,0.33178252,0.14206372,0.45059258,0.4271695,0.10001751,0.27654386,0.4563929,0.4316849,0.114594184,0.4405854,0.10438774,0.31707624,0.3264106,0.10135289,0.3826941,0.07010347,0.48602244,0.10628668,0.07851009,0.07348349,0.10604965,0.12119047,0.09111739,0.4796266,0.13088365,0.09782857,0.055742126,0.41476223,0.11758103,0.10312827,0.11724901,0.0789491,0.11279916,0.36825886,0.394402,0.060907908,0.34560323,0.35344228,0.07152521,0.43088576,0.0736752,0.28820583,0.07399971,0.09194919,0.34181002,0.115402035,0.05886885,0.058267325,0.13415049,0.4198765,0.07030625,0.08009114,0.16296746,0.4797079,0.112537034,0.34357208,0.093224816,0.41170406,0.0627807,0.0746389,0.36870703,0.36555192,0.065287754,0.07871579,0.1393808,0.088670745,0.15011968,0.46870828,0.053474903,0.09201697,0.43882793,0.06758916,0.06811979,0.108084396,0.5115157,0.12637256,0.47346538,0.42868474,0.2797158,0.39778805,0.3478628,0.42343897,0.3693996,0.11176943,0.4219821,0.07581794,0.38249335,0.08432627,0.40340415,0.44796732,0.084744535,0.05628264,0.40348867,0.5269509,0.48659644,0.4050056,0.08644586,0.3951726
A4IF30_Q13098,0,0.31886545,0,0.46838483,0.07803071,0.06870233,0.46325752,0.3736996,0.35388023,0.083862804,0.30851418,0.13187729,0.31482124,0.32204753,0.35505086,0.35151824,0.31674537,0.27110246,0.07076475,0.052432887,0.3326974,0.057356462,0.053460713,0.22639987,0.34556064,0.29484043,0.08235655,0.2866823,0.2091606,0.050193112,0.38759178,0.4495722,0.25208187,0.22567843,0.10520678,0.31620812,0.25307202,0.08244365,0.15560637,0.27959943,0.2853719,0.092938565,0.31692597,0.073592104,0.19158444,0.27035648,0.07006503,0.2043754,0.054417863,0.36963096,0.07348221,0.05827422,0.056446772,0.08097287,0.076177865,0.05285614,0.46479127,0.091246516,0.0818558,0.04768788,0.27734324,0.09855582,0.063240364,0.102930196,0.056316365,0.07065142,0.20571776,0.35378146,0.045710336,0.23038518,0.350266,0.05597441,0.24946988,0.047371935,0.16870387,0.048633028,0.08261942,0.26059678,0.08181456,0.038670573,0.05258555,0.09520389,0.35077262,0.05340317,0.057481468,0.12204464,0.40110335,0.074957624,0.25944933,0.071507625,0.25877282,0.05370205,0.047137346,0.2434083,0.2650365,0.05415411,0.057333633,0.10772931,0.061628275,0.11838181,0.34415096,0.04629062,0.07025835,0.3943745,0.047457416,0.044843815,0.069091156,0.3616623,0.08512319,0.26399273,0.32144517,0.24961196,0.31401882,0.23542137,0.29235896,0.26209852,0.073613465,0.2610473,0.049907908,0.34708253,0.06680733,0.29612496,0.29271626,0.047385663,0.06895492,0.42814454,0.41658124,0.322345,0.16524133,0.07713152,0.23992585
A4IF30_Q14258,0,0.27012727,0,0.58583355,0.08360806,0.075283416,0.4180946,0.47829896,0.43443486,0.061900347,0.37694582,0.13394961,0.48974517,0.4790679,0.4581074,0.46299082,0.3196082,0.32591543,0.04358855,0.043637767,0.33913386,0.05834827,0.050394315,0.27103293,0.45897356,0.27285218,0.07085457,0.4130829,0.23819268,0.039237883,0.31368315,0.48416355,0.31935227,0.30170017,0.107838765,0.40697607,0.35818434,0.055064946,0.21062659,0.36180994,0.35076585,0.099793546,0.45470437,0.041084543,0.1863923,0.33879322,0.040502626,0.27963457,0.04986714,0.47998285,0.05664524,0.051518142,0.031935193,0.083263576,0.042395975,0.04382445,0.41037065,0.07827436,0.062368456,0.049481977,0.35640302,0.08217639,0.06363696,0.08578857,0.03527692,0.06551282,0.31784725,0.32922515,0.040388964,0.37128675,0.27090505,0.045124535,0.3919117,0.058767296,0.17304984,0.038499556,0.07574755,0.39900336,0.061930943,0.03455327,0.054414548,0.064511955,0.34942213,0.04647371,0.03896789,0.0913382,0.45749834,0.056537885,0.31099817,0.051558416,0.27545416,0.03885583,0.050117224,0.25252086,0.3799691,0.07804926,0.05728735,0.10258762,0.07000174,0.10134752,0.483364,0.050779864,0.05457497,0.30515748,0.06729164,0.032734055,0.0567381,0.34524813,0.05810812,0.30536172,0.31807628,0.24196686,0.37956735,0.23558608,0.39426124,0.44888183,0.061005298,0.40147838,0.047425043,0.3633044,0.08360202,0.33730853,0.36391878,0.044882614,0.07217263,0.46931764,0.43384364,0.21367998,0.29105866,0.066601016,0.3326744
A4IF30_Q16740,0,0.38568938,0,0.52574563,0.16569054,0.20629749,0.41302478,0.4516946,0.37918925,0.20599937,0.36589575,0.15915938,0.38742158,0.3449934,0.42384,0.37630498,0.33941942,0.32369143,0.15692998,0.18052079,0.3144208,0.1635542,0.17253475,0.30394453,0.373824,0.26091096,0.16436677,0.37252364,0.2326973,0.18164691,0.323005,0.41792133,0.2730598,0.23662414,0.2255869,0.4249232,0.3303813,0.1903148,0.21891925,0.33210018,0.34084243,0.18116416,0.3690793,0.21320716,0.21904698,0.29852372,0.19194864,0.28643754,0.18268147,0.39424363,0.20930496,0.177994,0.15436737,0.18846005,0.17518269,0.168271,0.3778002,0.23013096,0.19600753,0.14329976,0.32912514,0.18447873,0.16185977,0.21700558,0.19120803,0.19480115,0.27553868,0.29824668,0.15897286,0.26817256,0.2602645,0.18343693,0.3678457,0.1714669,0.16137901,0.16668436,0.17008075,0.33277854,0.1919724,0.14811502,0.15902288,0.21008083,0.34528297,0.17075261,0.17154582,0.27386367,0.43027505,0.19352718,0.2548831,0.16700587,0.2691713,0.1450236,0.14419495,0.22263302,0.2959329,0.15845262,0.18166746,0.23455283,0.19602774,0.21074407,0.4132781,0.16305265,0.1733688,0.32479545,0.15951861,0.18196283,0.19212966,0.37716994,0.22441155,0.2878388,0.2780231,0.27223518,0.37993973,0.24131022,0.36475632,0.38251328,0.22860703,0.335613,0.1597006,0.3313714,0.15768929,0.30880424,0.31979927,0.16833924,0.12726028,0.3506797,0.45162958,0.24916178,0.2410081,0.1525254,0.3320719
