features,features_abbreviation,description,bayesfactor,lgmrgllh
Prop_AminoAcidType_NC,PropNC,Proportion negatively charged,202.162298545978,-1216.31499587335
Prop_AminoAcidType_PC,PropPC,Proportion positively charged,194.673697836319,-1223.80359658301
Prop_AminoAcidType_H,PropH,Proportion hydrophobic,189.798032716208,-1228.67926170312
Prop_ResCode_ASP,PropASP,Proportion aspartic acid,139.504607886308,-1278.97268653302
Prop_ResCode_GLU,PropGLU,Proportion glutamic acid,132.759360189432,-1285.7179342299
Prop_ResCode_LYS,PropLYS,Proportion lysine,128.126564767291,-1290.35072965204
Prop_MD_SS_Co,SSCoil,Proportion coil structure,126.968946071165,-1291.50834834817
Prop_sb,PropSB,Proportion salt bridge,114.467849098426,-1304.0094453209
Prop_ResCode_LEU,PropLEU,Proportion leucine,99.7185052576335,-1318.7587891617
Prop_ResCode_ARG,PropARG,Proportion arginine,96.5115163946748,-1321.96577802466
Prop_AminoAcidType_A,PropA,Proportion aromatic,87.7395147978814,-1330.73777962145
Prop_MD_SS_He,SSHelix,Proportion helix structure,87.1109006327531,-1331.36639378658
Prop_ResCode_PHE,PropPHE,Proportion phenylalanine,76.5102301507031,-1341.96706426863
MD_MMGBSA_PolarSolv_mean,PSMean,Mean polar solvation energy,74.5325896301495,-1343.94470478918
MD_MMGBSA_Elec_mean,ElecMean,Mean electrostatic energy,73.2151249928388,-1345.26216942649
Prop_ResCode_GLN,PropGLN,Proportion glutamine,67.3470311357048,-1351.13026328363
Prop_ResCode_VAL,PropVAL,Proportion valine,61.1771965261378,-1357.30009789319
Prop_wb,PropWB,Proportion water bridge,58.7186302297307,-1359.7586641896
MD_MMGBSA_total,TotalE,Total binding free energy,41.3534867399142,-1377.12380767942
MD_MMGBSA_Elec_sum,ElecSum,Sum electrostatic energy,38.2616445212113,-1380.21564989812
Coords_RMSD_from_Centroid_CA,RMSDca,RMSD from centroid (Calpha),37.8170509550514,-1380.66024346428
Coords_RMSD_from_Centroid_COM,RMSDcom,RMSD from centroid (COM),37.3444734200486,-1381.13282099928
Prop_ResCode_ASN,PropASN,Proportion asparagine,33.5571905489128,-1384.92010387042
MD_MMGBSA_PolarSolv_sum,PSSum,Sum polar solvation energy,32.9432988782296,-1385.5339955411
Prop_AminoAcidType_P,PropP,Proportion polar,31.0728502706857,-1387.40444414865
Prop_ResCode_ILE,PropILE,Proportion isoleucine,30.6174374786119,-1387.85985694072
MD_MMGBSA_VdW_sum,VdWSum,Sum van der Waals energy,27.5482965712072,-1390.92899784812
Prop_MD_SS_Be,SSBeta,Proportion beta structure,27.3760146232426,-1391.10127979609
