ExpID,MD_MMGBSA_VdW_mean,MD_MMGBSA_Elec_mean,MD_MMGBSA_PolarSolv_mean,MD_MMGBSA_NonPolarSolv_mean,MD_RMSF_mean,Coords_RMSD_from_Centroid_CA,Prop_ResCode_ALA,Prop_ResCode_ARG,Prop_ResCode_ASN,Prop_ResCode_ASP,Prop_ResCode_CYS,Prop_ResCode_GLN,Prop_ResCode_GLU,Prop_ResCode_GLY,Prop_ResCode_HIS,Prop_ResCode_ILE,Prop_ResCode_LEU,Prop_ResCode_LYS,Prop_ResCode_MET,Prop_ResCode_PHE,Prop_ResCode_PRO,Prop_ResCode_SER,Prop_ResCode_THR,Prop_ResCode_TRP,Prop_ResCode_TYR,Prop_ResCode_VAL,Prop_AminoAcidType_A,Prop_AminoAcidType_H,Prop_AminoAcidType_NC,Prop_AminoAcidType_P,Prop_AminoAcidType_PC,Prop_AminoAcidType_SC,Prop_MD_SS_He,Prop_MD_SS_Be,Prop_MD_SS_Co,Prop_hb,Prop_pc,Prop_ps,Prop_sb,Prop_ts,Prop_vdw,Prop_wb,MD_MMGBSA_VdW_sum,MD_MMGBSA_Elec_sum,MD_MMGBSA_PolarSolv_sum,MD_MMGBSA_NonPolarSolv_sum,MD_RMSF_sum,Planarity_RMSD_CA,Coords_RMSD_from_Centroid_COM,Planarity_RMSD_COM,MD_Interface_Fraction,Interface_Length,hb,pc,ps,sb,ts,vdw,wb,TotalContactCount,Contact_per_Interface,AF_Fraction_Disordered,MD_MMGBSA_total,MD_MMGBSA_Std_Dev,Transmembrane,GMM_Label_Combined
A1A5C7_O75882,-0.51649336492891,-1.51372606635071,1.81675687203791,-0.093563981042654,3.06757298578199,3.339614342694921,-2.86839285117739,-2.86839285117739,-2.482378203434641,-2.780060737078483,-3.069276176876361,-2.964290747719171,-3.315397391858823,-2.964290747719171,-3.315397391858823,-2.2448526263254736,-1.8332592001348045,-2.482378203434641,-4.096722684627067,-2.418461550379848,-3.315397391858823,-2.482378203434641,-3.069276176876361,-3.6351909490004286,-3.6351909490004286,-2.86839285117739,-2.000419554723684,-0.5863331762741344,-2.3577896473411415,-1.0251848201132927,-1.720015564369211,-2.964290747719171,0.14041717882974902,-1.720015564369211,-0.5965203448708731,-2.1413724994103247,-4.437934266612178,-4.95347688025631,-4.096722684627067,-4.95347688025631,-1.3373637376483094,-3.6351909490004286,-108.9801,-319.3962,383.3357,-19.742,647.2579,1.9701943971649727,3.3387922814958433,1.9832990309049043,-2.0481513836866263,5.356586274672012,3.0910424533583156,0.6931471805599453,0.0,1.0986122886681096,0.0,3.784189633918261,1.6094379124341003,4.276666119016055,-0.6789625455679891,-1.5856272637403817,-58.0296,2.4728256339702517,True,0
A1A5C7_P11717,-0.528627555555556,-4.67951955555556,4.96180355555556,-0.0901662222222222,2.660976,3.109799444034834,-2.61810196443927,-3.0308235933652603,-3.0308235933652603,-3.5286204125835976,-3.251286069018954,-3.135494215929149,-2.8472322652355464,-2.3695245756691548,-3.0308235933652603,-2.3695245756691548,-1.5627973349809874,-2.61810196443927,-3.7001790093678677,-3.135494215929149,-3.135494215929149,-2.6894881832421498,-2.9352435120733396,-4.1611127386869375,-3.7001790093678677,-2.4872847721929676,-2.61810196443927,-0.2557712601707266,-2.4872847721929676,-1.3086114099848962,-1.7588867242274764,-2.3695245756691548,0.6441977680423788,-2.6894881832421498,-0.7529656757708565,-3.0308235933652603,-4.502029427068574,-5.017279836814932,-5.017279836814932,-5.017279836814932,-1.7588867242274764,-3.5286204125835976,-118.9412,-1052.8919,1116.4058,-20.2874,598.7196,2.1570176314789338,3.1146264946316964,2.1592217168456274,-2.454065544265425,5.420534999272285,2.3025850929940455,0.6931471805599453,0.0,0.0,0.0,3.4965075614664802,1.791759469228055,3.8712010109078907,-1.3316359485820264,-1.900958761193047,-76.7067,2.3757890852524617,True,1
A1A5C7_P23415,-0.467362931034483,1.01793275862069,-0.732334482758621,-0.0865370689655172,3.33647068965517,2.8813190413989593,-2.564949357461537,-3.0270547446830314,-3.236497426218019,-3.0270547446830314,-3.0270547446830314,-2.8511510447428834,-3.4965075614664785,-2.8511510447428834,-2.6991215703579092,-1.6297431785948486,-1.8987315887802236,-2.2351438121985128,-3.0270547446830314,-2.2351438121985128,-3.4965075614664785,-2.564949357461537,-3.841600541131602,-3.236497426218019,-3.0270547446830314,-3.236497426218019,-1.692386995414848,-0.33935408299610137,-2.6991215703579092,-1.5117994428701844,-1.5117994428701844,-2.8511510447428834,1.5696316620336819,-4.360973225476051,-1.178654996341645,-3.4965075614664785,-4.360973225476051,-4.360973225476051,-4.360973225476051,-4.360973225476051,-2.056021267471732,-4.360973225476051,-54.2141,118.0802,-84.95080000000002,-10.0383,387.0306,1.7676272724488555,2.8823197666652014,1.792153103461167,-1.9869291684998593,4.762173934797756,1.0986122886681096,0.0,0.0,0.0,0.0,2.5649493574615367,0.0,2.70805020110221,-1.9859154836690125,-1.1526795099383855,-25.5972,2.5956725301043773,True,1
A1A5C7_P55060,-0.281154861111111,-9.46297604166667,9.67727986111111,-0.0610784722222222,1.49821354166667,3.1208951649989607,-2.8777476046677672,-2.4321191451859474,-2.94806217153586,-2.8115908800430494,-4.408459891742037,-2.8115908800430494,-2.2598673633088917,-3.023131247742105,-3.7789310766647928,-2.633547673804289,-1.973689713162392,-2.3867011260552173,-3.9494939368576385,-2.8777476046677672,-2.68986788201902,-2.5285154552154343,-2.94806217153586,-4.408459891742037,-4.408459891742037,-2.68986788201902,-2.633547673804289,-0.5643439291313704,-1.7659387696063102,-1.2560797211213646,-1.5369716091812804,-3.023131247742105,0.670039605549796,-5.262690188904892,-0.5569167309662565,-2.5798472121421736,-5.262690188904892,-5.262690188904892,-3.1906552572259494,-5.262690188904892,-2.0736556046127905,-2.300696518306178,-80.9726,-2725.3371,2787.0566,-17.5906,431.4855,2.0946019762225885,3.1232114336481995,2.0925999211631616,-1.4444649939747587,5.666426688112432,2.995732273553991,0.0,0.0,2.3978952727983707,0.0,3.4657359027997265,3.2580965380214817,4.454347296253507,-0.8705547225514709,-2.090741096933769,-35.2241,2.3983951478400214,False,1
A1A5C7_Q96EU7,-0.518707317073171,-1.36330609756098,1.65773719512195,-0.0938219512195122,2.15963902439024,2.9553194234977807,-2.514465452029545,-2.8081336596591924,-2.925688429821064,-2.514465452029545,-3.8440500218419413,-3.0571409016826334,-2.8081336596591924,-2.2797456010242234,-4.186619838331273,-2.8081336596591924,-2.514465452029545,-2.353015946620938,-3.0571409016826334,-2.6042986962500843,-2.7016807528167304,-2.353015946620938,-3.0571409016826334,-3.5866006049935195,-2.8081336596591924,-2.7016807528167304,-1.8597641983421094,-0.6976415701477864,-1.9666005423127604,-1.3094741551364502,-1.8093346140495583,-2.2797456010242234,-0.24067603007585003,-2.023413710210176,-0.01197619104671599,-2.353015946620938,-4.703506086708954,-4.703506086708954,-3.5866006049935195,-4.703506086708954,-1.4589840944881678,-3.5866006049935195,-85.068,-223.5822,271.8689,-15.3868,354.1808,1.9611858951697516,2.9659469641185403,1.9668149344082553,-1.3847688078110538,5.10594547390058,2.6390573296152584,0.0,0.0,1.3862943611198906,0.0,3.4339872044851463,1.3862943611198906,3.912023005428146,-0.8531118302526237,-1.2656663733312759,-46.3136,2.3562680299102303,True,1
A1A5C7_Q9H3U1,-0.178716666666667,1.2140125,-1.11712083333333,-0.0379875,3.61090833333333,2.216803198488702,-1.9042374526547419,-2.2823823856765264,-2.2823823856765264,-2.833213344056215,-1.9042374526547419,-2.2823823856765264,-1.9042374526547419,-2.833213344056215,-2.833213344056215,-1.36330484289519,-0.9555114450274351,-1.9042374526547419,-2.833213344056215,-2.833213344056215,-2.2823823856765264,-2.833213344056215,-2.833213344056215,-2.833213344056215,-2.2823823856765264,-2.2823823856765264,-2.2823823856765264,0.29849298855599615,-1.9042374526547419,-1.36330484289519,-1.609437912434098,-2.833213344056215,1.6094379124340983,-2.833213344056215,-0.2231435513142116,-2.2823823856765264,-2.833213344056215,-2.833213344056215,-2.833213344056215,-2.833213344056215,-1.609437912434098,-2.833213344056215,-4.2892,29.1363,-26.8109,-0.9117,86.6618,1.1082156057402548,2.218732783243514,1.1744695094887163,-4.093649876539425,3.2188758248682006,0.6931471805599453,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,1.6094379124341003,-1.6094379124341007,-1.900958761193047,-6.9134,1.5557206299281126,False,0
A4IF30_O00541,-0.384768888888889,0.974804444444444,-0.944413333333333,-0.0756644444444445,2.34309777777778,3.085543380918633,-2.4336133554004493,-1.8625285401162595,-2.766890701125143,-2.5883422370362417,-3.589059118831726,-3.589059118831726,-2.766890701125143,-2.4336133554004493,-3.589059118831726,-2.766890701125143,-2.1735548332503103,-1.7730673362158995,-3.589059118831726,-2.1735548332503103,-3.589059118831726,-2.978925155237609,-2.5883422370362417,-3.589059118831726,-2.978925155237609,-2.5883422370362417,-1.7730673362158995,-0.9200572146696309,-2.0614230361771537,-1.609437912434098,-0.9734491457141026,-2.4336133554004493,0.2595111954850844,-2.5883422370362417,-0.15082288973458546,-1.8625285401162595,-4.110873864173312,-4.110873864173312,-3.589059118831726,-4.110873864173312,-1.263161675716265,-4.110873864173312,-34.6292,87.73239999999997,-84.99719999999998,-6.8098,210.8788,1.8767161122280813,3.0826323541898826,1.8644725127252868,-2.1984583837851486,4.51085950651685,2.4849066497880004,0.0,0.0,0.6931471805599453,0.0,2.995732273553991,0.0,3.4657359027997265,-0.6435502394205735,-0.8953840470548414,-33.3113,1.9554643618601248,False,0
A4IF30_O14497,-0.195252380952381,4.09118095238095,-3.91229523809524,-0.0463357142857143,3.07109761904762,2.4867804608490043,-3.367295829986475,-1.9715525796686528,-2.472930458741284,-2.472930458741284,-2.833213344056215,-2.472930458741284,-1.9715525796686528,-3.367295829986475,-3.367295829986475,-2.197224577336219,-1.4572460970921743,-2.833213344056215,-2.472930458741284,-2.197224577336219,-2.833213344056215,-1.7788560643921507,-2.833213344056215,-3.367295829986475,-3.367295829986475,-1.9715525796686528,-2.197224577336219,-0.35937400090789784,-1.609437912434098,-0.9555114450274351,-1.7788560643921507,-3.367295829986475,1.0691984034618194,-3.367295829986475,-0.31365755885504243,-2.472930458741284,-3.367295829986475,-3.367295829986475,-2.833213344056215,-3.367295829986475,-1.9715525796686528,-3.367295829986475,-8.2006,171.82959999999997,-164.3164,-1.9461,128.9861,1.250650716682095,2.4744282385881697,1.329857619837657,-3.6154123022320643,3.7612001156935624,1.0986122886681096,0.0,0.0,0.6931471805599453,0.0,1.6094379124341003,0.0,2.0794415416798357,-1.6094379124341007,-3.8918202981106265,-17.6461,2.1724308485226635,False,0
A4IF30_O15020,-0.230206451612903,-6.69711935483871,6.79574919354839,-0.0606088709677419,2.59459596774194,3.360973954077405,-3.3040336332085083,-2.4065160158422776,-2.9198475760291185,-2.768413350829301,-3.908014984030609,-3.095166170542179,-2.048804572217943,-2.9198475760291185,-2.9198475760291185,-2.5151465349777187,-1.8337236683270888,-1.9731845669749741,-3.3040336332085083,-2.5151465349777187,-3.908014984030609,-2.5151465349777187,-3.3040336332085083,-3.908014984030609,-3.5634781875726653,-2.4065160158422776,-2.2148461786860385,-0.7228229487060622,-1.6477200990051146,-1.5356717621944886,-1.1954621146580282,-2.9198475760291185,1.2859716394920224,-4.426840650463677,-0.9664405155596286,-2.9198475760291185,-3.908014984030609,-4.426840650463677,-2.9198475760291185,-4.426840650463677,-1.8337236683270888,-2.1291131514770756,-28.5456,-830.4427999999999,842.6729,-7.515499999999999,321.7299,1.8540837046769467,3.3579971238031736,1.839928292543694,-3.0029641250804864,4.828313737302301,1.791759469228055,0.6931471805599453,0.0,1.791759469228055,0.0,2.833213344056216,2.5649493574615367,3.6888794541139363,-0.7790896103606701,-1.815289966638249,-32.2456,2.1042804850267545,False,0
A4IF30_O43148,-0.338589928057554,0.94434964028777,-0.687401438848921,-0.0780201438848921,1.88051007194245,3.003319141345653,-2.8866611784996286,-2.2532392188908905,-2.429026191393543,-3.037169463418165,-4.53974238066564,-3.2115765223865886,-2.429026191393543,-2.7540353143440326,-4.021773869387266,-2.5276315944543413,-2.2532392188908905,-1.898470423983753,-2.7540353143440326,-2.8866611784996286,-3.037169463418165,-2.5276315944543413,-3.2115765223865886,-3.4195465203303526,-3.037169463418165,-2.7540353143440326,-2.099402284242372,-0.687870123459102,-2.0289453776652993,-1.3818987496468504,-1.2550279751262199,-2.7540353143440326,0.2979596552100212,-3.4195465203303526,-0.16941815195804466,-2.173967715171952,-4.53974238066564,-4.53974238066564,-3.2115765223865886,-4.53974238066564,-1.6698010621611916,-4.53974238066564,-47.064,131.2646,-95.5488,-10.8448,261.3909,1.952224704125723,3.0058330279905525,1.9509948054684443,-1.3270177511903505,4.941642422609304,2.6390573296152584,0.0,0.0,1.6094379124341003,0.0,3.0910424533583156,0.0,3.6635616461296463,-0.9775343571148735,-0.75377180237638,-17.5041,2.4498319965045092,False,0
