ExpID,y_true,y_prob,y_pred,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
A1A5C7_O75882,1,0.99792033,1,17.111856,13.745162,10.316866,0.9548301,2.4229157,0.12694146,0.060068406,0.21731903,9.783477,15.127257,14.592992,1.0148219,18.281723,-0.09683148,0.7391635,1.9328047,12.108864,18.56822,-0.0855704,1.9230229,1.2016066,1.4425505,1.2680732,-0.12044627,12.928526,16.689304,0.04918674,18.282919,21.503887,1.6264781,14.912421,16.878647,-0.1673354,0.3588871,12.749825,17.578705,16.080532,0.22027172,16.716219,21.236967,25.140697,23.317013,17.633146,15.338863,-0.042760197,0.08148303,9.94855,-0.07075553,14.411546,6.2021313,0.09435879,0.14346415,12.661737,0.3608558,-0.092150785,10.540389,0.26169664,-0.114827015,0.07821161,15.057657,16.649214,21.246353,22.593525,16.42126,0.99673176,0.07232841,0.33528465,-0.15734823,0.39089662,0.20348188,11.883077,12.7272625,0.3597305,10.645421,0.15694278,0.29212782,12.976998,0.5738648,18.308502,0.955517,0.49047208,0.34284347,0.5775683,-0.16310091,0.06640267,13.14448,0.26657447,2.3244488,0.6991221,1.0604771,11.044132,-0.15731663,18.24536,0.5239616,8.14877,1.4475094,3.2998738,21.094889,0.15021907,5.8834696,13.293409,15.578503,12.734565,16.002754,13.424101,11.546773,-0.15455236,17.66346,16.866352,-0.09128053,6.5587053,-0.20665248,0.31659102,-0.010311607,16.43334,14.868365,0.06655957,0.1732038,1.4455951,19.125492,13.217577,0.054877263,12.24122,-0.17056428,-0.07533802,4.5467334,13.504583,-0.12173701
A1A5C7_P23415,1,0.90934634,1,8.86105,8.038515,5.9269295,0.0405069,0.3955553,0.02119879,0.027569234,-0.08763814,4.6494727,7.944982,8.667677,0.1117882,9.913833,-0.0696528,-0.08428656,0.20061837,6.516306,9.642694,-0.06345419,0.30631378,0.0025470497,0.011138272,0.0360278,0.084712364,7.9226146,9.923805,0.12589273,9.427209,12.339998,0.13804056,8.608588,8.315881,-0.0055396133,0.03243629,7.6299343,9.671534,8.384436,-0.01905879,9.174139,11.339677,13.78873,13.251954,10.004342,8.447115,-0.11129378,-0.12211081,5.7690487,0.14732571,8.185025,2.074326,-0.07525918,-0.08196103,7.209368,-0.066061564,-0.09445102,4.5571995,0.05800142,-0.046001967,0.17569435,8.362852,9.431326,11.432182,11.14796,9.280614,0.15518007,0.16276266,0.07032799,-0.052271105,0.025209865,-0.10610257,6.757756,7.178209,-0.046391305,6.361332,-0.0428825,-0.051314645,6.8599367,0.048953917,9.099164,0.23515138,0.0028904097,0.010534285,0.08552323,0.16555506,-0.05282609,7.1780443,-0.0010615078,0.42602476,0.09479174,-0.0050446405,5.8217974,-0.0017219577,10.672912,-0.11137301,4.8866935,-0.0060547,0.39121547,8.37658,-0.07130059,2.9145398,7.0831857,8.664055,7.335183,9.372489,8.141035,4.365869,-0.038694706,9.920237,9.118635,-0.040099036,1.8611729,-0.11548095,-0.0051261997,-0.026209284,8.789522,8.49577,0.010183284,-0.0025740024,0.67256147,11.370946,7.2861443,0.054939218,6.7646956,-0.016675932,-0.074695915,1.0228971,7.4298716,0.059677366
A1A5C7_Q96EU7,1,0.16563594,0,12.160782,11.091913,10.010136,4.8675466,5.03908,3.5707529,2.6171517,3.7460086,2.6095004,13.499158,12.390912,3.8845348,12.54115,3.2317967,4.0310636,5.1315374,10.451294,10.907837,4.0946784,4.5393786,3.1581743,2.7738543,3.6801214,3.8485177,10.830208,12.737962,3.3228312,10.840278,14.778742,4.4288373,11.963887,9.76727,2.6147497,4.8699584,11.326292,11.961369,13.483363,2.7316852,12.42577,11.607825,15.517577,13.139131,11.631425,8.898988,4.001763,5.195105,9.005551,3.4849405,9.705953,2.9394193,3.3792503,3.1974883,11.4447975,5.1912875,3.1891716,5.6139126,3.8781111,4.2808495,4.5501075,11.556729,11.921114,13.591956,6.309121,8.845043,3.7671688,2.7932968,3.644777,2.3779368,3.6743011,4.677026,11.13488,10.037428,4.4088173,10.203281,4.3391833,3.493365,13.086021,4.456864,9.850395,4.563866,3.730731,4.075191,3.694052,3.5700262,3.918764,11.4592705,4.1790347,4.318932,3.554478,4.141471,8.301927,4.7133927,14.868359,3.9962993,8.198434,5.492724,3.8469641,4.667852,3.497424,6.551942,12.663477,11.135745,11.730976,11.970458,10.991959,4.883414,3.0103486,14.311889,10.257211,5.4103184,6.181393,3.5155642,3.393389,3.8932939,13.271269,11.425877,2.9542232,4.299659,4.072673,15.451398,13.460223,3.39229,10.554553,2.8562026,2.7923949,4.400258,11.451335,2.609465
A1A5C7_Q9H3U1,0,0.57044935,1,1.5987552,1.4011182,1.1715084,-0.0122213205,0.22963311,0.004791408,-0.019392105,-0.015833559,0.71580815,1.3908372,1.5294344,0.06049901,1.9066455,-0.015255532,0.1390567,0.09211901,1.3563261,1.8659103,-0.013980495,0.1418916,0.090170726,0.095733054,0.1324322,0.02703394,1.4880601,2.0797474,0.040958386,1.9080528,2.7376418,0.1250713,2.0477479,1.8116276,-0.016537046,-0.016115578,1.6737294,1.7460907,1.7489452,-0.024853881,1.3546746,2.3881652,2.5583813,2.5344763,2.0189683,1.2810997,-0.021748453,0.026283475,1.2782544,0.05827484,1.6271174,0.45547184,-0.020439213,0.032007977,1.2750657,0.12996721,-0.025930459,0.7533286,0.01573443,0.019459065,-0.010123835,1.8068126,1.5672442,2.1607225,2.4965634,2.069348,-0.014862669,0.08392342,0.16207477,-0.013328997,0.11041639,0.12848072,1.1678092,1.5366151,0.07462372,1.4544721,-0.021274626,0.094921336,1.5417354,-0.008540588,1.8930875,0.10766567,0.08879243,0.097135454,-0.0189911,-0.020071073,-0.015508501,1.6315202,-0.018520903,0.06448581,-0.005498723,-0.020187102,1.1316094,0.049333084,2.1258717,-0.0059162765,1.1732454,0.15263419,0.31519535,1.1883818,-0.023450287,0.9428606,1.1997751,1.909485,1.2027243,2.0156505,1.4375129,0.7234953,0.027436335,1.9995338,1.8390571,0.09516347,0.3786262,0.022833169,0.12402067,-0.013940907,2.0491385,1.6812774,-0.0023044306,0.0051257904,0.016666867,2.3287165,1.3900017,0.008349991,1.5206033,0.03697237,-0.015818547,0.3108681,1.6666673,-0.0042053983
A4IF30_O15020,0,0.012999849,0,7.368398,9.584569,8.5163355,0.050931863,0.044162877,-0.011447853,-0.027046777,-0.10323553,0.1913496,9.686001,11.228547,0.15734968,7.6336446,-0.09483394,0.110986464,0.46739373,9.42683,6.4660816,-0.051509332,0.21450377,-0.049097627,0.17839685,0.0043365136,0.084671035,10.434904,11.318921,0.22039087,5.8787394,11.4548235,0.17030928,11.284788,6.322202,0.19277072,0.46371973,9.141518,8.131553,10.349064,-0.11874994,5.791423,8.576001,9.35989,10.082032,8.835159,4.104285,-0.07992413,0.09651164,6.4833646,-0.002918169,6.8253937,-0.07502929,-0.03464516,0.120987885,10.276124,-0.06359947,0.067961335,1.1757771,-0.0005979598,-5.5827084e-05,0.5775876,11.1693735,8.189734,9.670711,3.0104697,7.557204,0.051500674,0.42548826,0.05310695,0.07998856,0.112268195,-0.09126556,7.2856355,6.907413,-0.003276914,8.418217,0.23893933,0.18351188,10.915198,0.018479459,6.450668,0.024089644,0.15541285,-0.029365456,-0.06049029,-0.022513174,0.34175345,11.195902,0.052873157,0.039776847,0.739493,-0.11019575,4.2079644,-0.026895244,12.904155,-0.14065334,6.6903143,-0.04159488,0.061306648,0.17678088,-0.10262363,4.809296,7.9322248,10.533047,9.533277,9.993414,9.541494,0.035963614,-0.02311426,11.947649,7.0628595,0.1236038,0.12611587,0.0035310818,-0.014781665,-0.06138006,11.636164,9.192143,0.3430206,0.095334515,0.424018,13.808985,8.613325,0.024533886,6.4159846,0.050359704,-0.07812461,-0.08075375,11.511194,0.10635894
A4IF30_O43148,0,0.06665686,0,9.623523,10.70506,8.342322,-0.005016672,-0.089177355,-0.11317752,-0.08336866,-0.12003594,0.73489034,12.2611685,11.666973,-0.09901012,10.504234,-0.11707262,-0.10596192,-0.07296658,9.235357,9.016318,-0.0715252,-0.086052194,-0.07164358,-0.04150251,-0.102888316,-0.10046318,9.922202,12.204348,-0.07935554,8.672007,13.467758,-0.104163334,10.79135,7.8001566,-0.09110426,-0.043411735,9.414289,10.456458,10.614665,-0.14432198,9.521673,9.629474,12.954719,11.479102,10.118283,7.20056,-0.11666682,-0.13880038,6.495939,-0.065921925,7.713725,-0.06992611,-0.11685484,-0.10441705,11.615542,-0.0731975,-0.10862997,2.3199747,-0.09989,-0.14401995,0.15121706,10.497484,10.802821,11.70749,3.6512163,7.4501023,-0.08876702,0.09308773,-0.09028367,-0.069649726,-0.08327137,-0.12389829,8.868691,7.5950575,-0.1239198,7.897634,-0.055681806,-0.07212889,11.201991,-0.10703402,8.157806,-0.08860775,-0.08408374,-0.096211255,-0.1244283,-0.07155014,-0.08759276,10.789819,-0.07532513,-0.087414235,0.43377575,-0.12815307,5.7568264,-0.12529717,13.823804,-0.13971357,5.9588046,-0.10753169,-0.12358226,1.5532196,-0.077317595,4.3749433,9.639541,9.949258,10.470899,10.554471,10.41295,0.06705948,-0.09967903,13.303097,8.640867,-0.099882886,-0.0009522914,-0.1430371,0.21031319,-0.09963957,12.281219,10.088956,-0.094398126,-0.03922496,0.15368776,14.245028,10.185559,-0.08470062,7.2472563,-0.11559854,-0.09540433,-0.1383228,10.997794,-0.070911534
A4IF30_O76094,0,0.03166371,0,6.968729,9.576225,7.825806,0.24771726,-0.021033948,-0.050762385,0.04651056,-0.09774061,0.6407863,9.367485,10.448058,0.04960674,7.385652,-0.08926399,-0.08701001,0.18369338,8.442536,6.171678,0.014964055,0.1498442,-0.059609577,-0.015853288,-0.08251652,-0.03632698,9.791983,10.101544,0.18674332,6.01921,10.171215,0.02966405,9.03658,5.5889373,0.008231543,0.5042585,7.876449,8.128065,8.442051,-0.11899284,6.573973,7.7404494,9.268104,9.051517,8.100259,4.263225,-0.059517127,-0.10764305,5.4182816,0.059774455,5.9949594,0.22691685,-0.034423087,0.03704566,9.154752,-0.058749687,-0.07920801,1.7958218,0.025879782,-0.11240036,0.43344724,9.173812,8.256036,9.255583,2.9874506,6.311695,0.10338243,0.42781514,-0.078717425,-0.05479157,-0.009796327,-0.10897765,7.2305346,5.9298363,0.017794164,6.8689327,0.09327577,-0.06299292,9.406045,-0.056104425,6.2025294,-0.008048745,0.011607672,0.091478564,0.0314644,0.05276265,-0.08248983,9.797445,0.06737519,0.16180022,0.7267674,-0.10650351,3.791634,-0.058088794,11.657159,-0.11118054,5.151933,-0.019805185,-0.06538254,1.1021787,-0.06725171,4.0514507,7.9274955,9.06248,9.816427,8.910153,9.39538,0.5071961,-0.076924905,10.55482,6.486947,0.053196907,0.29647094,-0.09566536,-0.028945614,-0.048448738,10.167061,8.470323,0.023153953,0.24449736,0.8461492,11.992273,7.87097,0.015317175,5.8219485,-0.07866867,-0.062104885,-0.08977629,9.608918,0.045092035
A4IF30_Q13098,0,0.035663508,0,8.667616,10.955418,8.874027,0.1467149,-0.069531105,-0.10936865,-0.018060176,-0.11790793,0.8412158,11.488297,12.134729,-0.09445165,9.400444,-0.10831902,-0.10411954,-0.09826928,9.465035,7.586254,-0.06934194,0.13436294,-0.06810505,-0.033284858,-0.097194664,-0.09333247,10.6299,11.147269,-0.060679194,7.7205415,11.539393,-0.05469549,9.806099,7.0777955,-0.08286319,-0.016702956,8.891954,9.865156,9.937405,-0.13528404,9.005948,8.622519,11.779818,9.518691,9.044554,5.565797,-0.10881201,-0.13249226,5.580416,-0.037698302,6.5016484,0.16989794,-0.11455902,-0.09631011,10.838722,-0.0671404,-0.104854956,2.9264185,-0.09361168,-0.12937799,0.3245786,10.208651,10.142898,11.418148,3.497381,6.539287,-0.055115417,0.093277566,-0.07888419,-0.073421255,-0.06502239,-0.12189787,8.590596,6.4426303,-0.114500575,7.424143,-3.045355e-05,-0.07320238,10.875762,-0.08879711,7.569175,-0.035947956,-0.03804533,-0.090244725,-0.11508862,-0.08186918,-0.063727506,10.673411,-0.077143624,-0.07454455,0.4595932,-0.12024539,4.5032587,-0.116229914,13.107008,-0.12651621,5.2908826,-0.031066172,-0.014413185,2.2570736,-0.10411341,4.1138186,9.634304,9.724657,11.502289,9.509801,10.940643,0.4674291,-0.096714266,12.06055,7.3233747,-0.01999284,0.20061223,-0.1334053,0.018471833,-0.09323678,11.596939,9.125616,-0.051586237,-0.022627013,0.47020784,13.119994,9.7174635,-0.08139503,6.362635,-0.10767868,-0.08676586,0.034777723,10.300353,-0.05257202
A4IF30_Q14258,0,0.038947396,0,12.091683,12.541463,10.727178,4.9207067,5.0018544,4.028418,3.9207377,4.404677,10.574389,14.868368,14.308881,4.16428,13.166183,3.8412347,3.0329506,4.855506,12.145592,11.10656,4.5497227,3.0531068,0.6136432,3.0131302,3.1020212,4.1984076,11.999601,14.110899,4.8586793,10.635191,15.170298,2.8619447,12.933458,9.340336,3.3181925,5.828209,12.560975,12.598313,14.551457,2.6854613,11.714933,11.284613,15.081501,14.272481,12.123916,8.75694,4.6756372,3.3579884,8.788352,3.7492864,9.009777,4.8871155,4.6910586,2.7729723,13.2776985,3.5727868,3.2372322,4.1494784,4.1144447,3.0145051,2.4671881,14.272415,12.813911,13.856893,3.9993854,9.193904,4.348169,2.6899095,2.3952553,2.3356843,4.157084,2.5245976,11.11004,10.62264,4.240144,10.458182,4.0597405,1.7544078,14.602588,3.768829,10.44878,2.8311348,1.7082332,2.3830557,3.7193868,4.400826,2.8956356,13.845804,3.706659,5.026399,4.5051885,3.733156,8.148351,4.539331,16.802593,5.13506,7.4887,3.0600996,3.1216805,3.4797523,3.579114,7.232637,13.005192,11.979554,13.734597,13.770591,13.726484,7.618193,2.8403676,16.294306,10.485927,3.5012426,3.2146225,4.607346,0.5535826,2.99176,15.106941,12.797292,2.679492,4.927722,10.526148,17.576807,12.520019,4.5851073,9.434001,4.132258,3.6366913,2.5895002,14.083758,1.8429884
A4IF30_Q16740,0,0.05994998,0,7.965111,9.262074,8.013394,0.07914043,0.14245555,0.062399544,0.050994195,-0.09818351,1.246351,10.284645,10.357027,0.117905706,8.825184,-0.0648431,-0.0020312965,0.41781026,8.808803,7.5770307,0.10545708,0.22552371,-0.06440536,0.02458661,-0.06804362,0.06484155,9.646551,11.075981,0.19621879,7.098764,12.138758,-0.012619063,10.528342,6.5790963,0.0031605214,0.45249847,8.776434,8.860288,9.723293,-0.12318101,7.7172813,9.181658,10.767965,10.917817,9.198517,5.427013,-0.032587267,-0.026715532,6.2655315,0.093035296,7.044147,0.29868078,0.052284196,-0.08234254,9.58752,0.07652974,-0.020129263,1.9680643,0.13150041,-0.0702717,0.30580872,10.681506,8.891612,10.255023,3.7508914,7.7069807,0.15621582,0.1430723,0.04372169,0.009531725,0.013155431,-0.111606576,7.5971518,7.1287675,-0.011226997,7.613759,0.10738012,-0.051961496,10.132378,0.0143761635,6.896126,-0.011141807,-0.032229595,0.060905322,0.08230855,0.17732239,-0.095443614,10.624247,0.00874801,0.3221486,0.6266011,-0.06948969,4.9560943,0.12769115,12.767618,0.0002782941,5.6716266,0.044459254,-0.029831305,1.4475547,-0.028890148,3.6091566,8.290511,9.443852,8.988544,10.098145,8.766982,0.8412175,-0.032748558,12.3699255,7.7753673,0.27960908,0.14751144,-0.07881018,0.025021767,-0.0846935,11.537108,9.232687,-0.0054488704,0.18397436,0.79268694,13.363654,8.944287,0.12699232,6.734972,0.09690497,-0.0833164,-0.015011705,10.474213,-0.0420515
