ExpID,MD_MMGBSA_VdW_mean,MD_MMGBSA_Elec_mean,MD_MMGBSA_PolarSolv_mean,MD_MMGBSA_NonPolarSolv_mean,MD_RMSF_mean,Coords_RMSD_from_Centroid_CA,Prop_ResCode_ALA,Prop_ResCode_ARG,Prop_ResCode_ASN,Prop_ResCode_ASP,Prop_ResCode_CYS,Prop_ResCode_GLN,Prop_ResCode_GLU,Prop_ResCode_GLY,Prop_ResCode_HIS,Prop_ResCode_ILE,Prop_ResCode_LEU,Prop_ResCode_LYS,Prop_ResCode_MET,Prop_ResCode_PHE,Prop_ResCode_PRO,Prop_ResCode_SER,Prop_ResCode_THR,Prop_ResCode_TRP,Prop_ResCode_TYR,Prop_ResCode_VAL,Prop_AminoAcidType_A,Prop_AminoAcidType_H,Prop_AminoAcidType_NC,Prop_AminoAcidType_P,Prop_AminoAcidType_PC,Prop_AminoAcidType_SC,Prop_MD_SS_He,Prop_MD_SS_Be,Prop_MD_SS_Co,Prop_hb,Prop_pc,Prop_ps,Prop_sb,Prop_ts,Prop_vdw,Prop_wb,MD_MMGBSA_VdW_sum,MD_MMGBSA_Elec_sum,MD_MMGBSA_PolarSolv_sum,MD_MMGBSA_NonPolarSolv_sum,MD_RMSF_sum,Planarity_RMSD_CA,Coords_RMSD_from_Centroid_COM,Planarity_RMSD_COM,MD_Interface_Fraction,Interface_Length,hb,pc,ps,sb,ts,vdw,wb,TotalContactCount,Contact_per_Interface,AF_Fraction_Disordered,MD_MMGBSA_total,MD_MMGBSA_Std_Dev,Transmembrane,GMM_Label_Combined
A1A5C7_O75882,-0.51649336492891,-1.51372606635071,1.81675687203791,-0.093563981042654,3.06757298578199,28.2082458913193,0.0537383177570093,0.0537383177570093,0.0771028037383178,0.058411214953271,0.044392523364486,0.0490654205607477,0.0350467289719626,0.0490654205607477,0.0350467289719626,0.0957943925233645,0.13785046728972,0.0771028037383178,0.0163551401869159,0.0817757009345794,0.0350467289719626,0.0771028037383178,0.044392523364486,0.0257009345794393,0.0257009345794393,0.0537383177570093,0.119158878504673,0.357476635514019,0.0864485981308411,0.264018691588785,0.151869158878505,0.0490654205607477,0.535046728971963,0.151869158878505,0.355140186915888,0.105140186915888,0.0116822429906542,0.0070093457943925,0.0163551401869159,0.0070093457943925,0.207943925233645,0.0257009345794393,-108.9801,-319.3962,383.3357,-19.742,647.2579,7.172070583026522,28.185066515616057,7.266676475059874,0.1142393069842988,211,21.0,1.0,0.0,2.0,0.0,43.0,4.0,71.0,0.3364928909952606,0.17,-58.0296,11.8559,True,0
A1A5C7_P11717,-0.528627555555556,-4.67951955555556,4.96180355555556,-0.0901662222222222,2.660976,22.4165481774338,0.0679824561403509,0.0460526315789474,0.0460526315789474,0.0285087719298246,0.037280701754386,0.0416666666666667,0.0548245614035088,0.0855263157894737,0.0460526315789474,0.0855263157894737,0.173245614035088,0.0679824561403509,0.0241228070175439,0.0416666666666667,0.0416666666666667,0.0635964912280702,0.0504385964912281,0.0153508771929825,0.0241228070175439,0.0767543859649123,0.0679824561403509,0.43640350877193,0.0767543859649123,0.212719298245614,0.146929824561404,0.0855263157894737,0.655701754385965,0.0635964912280702,0.320175438596491,0.0460526315789474,0.0109649122807018,0.006578947368421,0.006578947368421,0.006578947368421,0.146929824561404,0.0285087719298246,-118.9412,-1052.8919,1116.4058,-20.2874,598.7196,8.64531565497373,22.525015567872945,8.66439168357445,0.0791417516707703,225,9.0,1.0,0.0,0.0,0.0,32.0,5.0,47.0,0.2088888888888889,0.13,-76.7067,10.7595,True,1
A1A5C7_P23415,-0.467362931034483,1.01793275862069,-0.732334482758621,-0.0865370689655172,3.33647068965517,17.8377864475062,0.0714285714285714,0.046218487394958,0.0378151260504202,0.046218487394958,0.046218487394958,0.0546218487394958,0.0294117647058824,0.0546218487394958,0.0630252100840336,0.163865546218487,0.130252100840336,0.0966386554621849,0.046218487394958,0.0966386554621849,0.0294117647058824,0.0714285714285714,0.0210084033613445,0.0378151260504202,0.046218487394958,0.0378151260504202,0.15546218487395,0.415966386554622,0.0630252100840336,0.180672268907563,0.180672268907563,0.0546218487394958,0.827731092436975,0.0126050420168067,0.235294117647059,0.0294117647058824,0.0126050420168067,0.0126050420168067,0.0126050420168067,0.0126050420168067,0.113445378151261,0.0126050420168067,-54.2141,118.0802,-84.95080000000002,-10.0383,387.0306,5.856939938771424,17.855646105913294,6.0023622703034,0.1205821205821205,116,2.0,0.0,0.0,0.0,0.0,12.0,0.0,14.0,0.1206896551724138,0.24,-25.5972,13.4056,True,1
A1A5C7_P55060,-0.281154861111111,-9.46297604166667,9.67727986111111,-0.0610784722222222,1.49821354166667,22.6666609657959,0.0532646048109966,0.0807560137457045,0.0498281786941581,0.0567010309278351,0.0120274914089347,0.0567010309278351,0.0945017182130584,0.0463917525773196,0.0223367697594502,0.0670103092783505,0.121993127147766,0.084192439862543,0.0189003436426117,0.0532646048109966,0.063573883161512,0.0738831615120275,0.0498281786941581,0.0120274914089347,0.0120274914089347,0.063573883161512,0.0670103092783505,0.36254295532646,0.146048109965636,0.221649484536082,0.176975945017182,0.0463917525773196,0.661512027491409,0.0051546391752577,0.36426116838488,0.070446735395189,0.0051546391752577,0.0051546391752577,0.0395189003436426,0.0051546391752577,0.111683848797251,0.0910652920962199,-80.9726,-2725.3371,2787.0566,-17.5906,431.4855,8.122207495047219,22.71922389340412,8.105962655395832,0.1908548707753479,288,19.0,0.0,0.0,10.0,0.0,31.0,25.0,85.0,0.2951388888888889,0.11,-35.2241,11.0055,False,1
A1A5C7_Q96EU7,-0.518707317073171,-1.36330609756098,1.65773719512195,-0.0938219512195122,2.15963902439024,19.2078571809611,0.0748502994011976,0.0568862275449102,0.0508982035928144,0.0748502994011976,0.0209580838323353,0.0449101796407186,0.0568862275449102,0.092814371257485,0.0149700598802395,0.0568862275449102,0.0748502994011976,0.0868263473053892,0.0449101796407186,0.0688622754491018,0.062874251497006,0.0868263473053892,0.0449101796407186,0.0269461077844311,0.0568862275449102,0.062874251497006,0.134730538922156,0.332335329341317,0.122754491017964,0.212574850299401,0.140718562874252,0.092814371257485,0.440119760479042,0.116766467065868,0.497005988023952,0.0868263473053892,0.0089820359281437,0.0089820359281437,0.0269461077844311,0.0089820359281437,0.188622754491018,0.0269461077844311,-85.068,-223.5822,271.8689,-15.3868,354.1808,7.107751116865543,19.413078028289547,7.147873746784956,0.2002442002442002,164,13.0,0.0,0.0,3.0,0.0,30.0,3.0,49.0,0.298780487804878,0.22,-46.3136,10.5515,True,1
A1A5C7_Q9H3U1,-0.178716666666667,1.2140125,-1.11712083333333,-0.0379875,3.61090833333333,9.17794385390414,0.12962962962963,0.0925925925925926,0.0925925925925926,0.0555555555555556,0.12962962962963,0.0925925925925926,0.12962962962963,0.0555555555555556,0.0555555555555556,0.203703703703704,0.277777777777778,0.12962962962963,0.0555555555555556,0.0555555555555556,0.0925925925925926,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.574074074074074,0.12962962962963,0.203703703703704,0.166666666666667,0.0555555555555556,0.833333333333333,0.0555555555555556,0.444444444444444,0.0925925925925926,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.166666666666667,0.0555555555555556,-4.2892,29.1363,-26.8109,-0.9117,86.6618,3.028948730656525,9.19567057154706,3.236425595290904,0.0164046479835953,24,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.1666666666666666,0.13,-6.9134,4.7385,False,0
A4IF30_O00541,-0.384768888888889,0.974804444444444,-0.944413333333333,-0.0756644444444445,2.34309777777778,21.8793524352059,0.0806451612903226,0.134408602150538,0.0591397849462366,0.0698924731182796,0.0268817204301075,0.0268817204301075,0.0591397849462366,0.0806451612903226,0.0268817204301075,0.0591397849462366,0.102150537634409,0.145161290322581,0.0268817204301075,0.102150537634409,0.0268817204301075,0.0483870967741936,0.0698924731182796,0.0268817204301075,0.0483870967741936,0.0698924731182796,0.145161290322581,0.28494623655914,0.112903225806452,0.166666666666667,0.274193548387097,0.0806451612903226,0.564516129032258,0.0698924731182796,0.462365591397849,0.134408602150538,0.0161290322580645,0.0161290322580645,0.0268817204301075,0.0161290322580645,0.220430107526882,0.0161290322580645,-34.6292,87.73239999999997,-84.99719999999998,-6.8098,210.8788,6.532019185295118,21.815753669224826,6.4525313599660175,0.099889012208657,90,11.0,0.0,0.0,1.0,0.0,19.0,0.0,31.0,0.3444444444444444,0.29,-33.3113,7.0672,False,0
A4IF30_O14497,-0.195252380952381,4.09118095238095,-3.91229523809524,-0.0463357142857143,3.07109761904762,12.0225068129041,0.0333333333333333,0.122222222222222,0.0777777777777778,0.0777777777777778,0.0555555555555556,0.0777777777777778,0.122222222222222,0.0333333333333333,0.0333333333333333,0.1,0.188888888888889,0.0555555555555556,0.0777777777777778,0.1,0.0555555555555556,0.144444444444444,0.0555555555555556,0.0333333333333333,0.0333333333333333,0.122222222222222,0.1,0.411111111111111,0.166666666666667,0.277777777777778,0.144444444444444,0.0333333333333333,0.744444444444445,0.0333333333333333,0.422222222222222,0.0777777777777778,0.0333333333333333,0.0333333333333333,0.0555555555555556,0.0333333333333333,0.122222222222222,0.0333333333333333,-8.2006,171.82959999999997,-164.3164,-1.9461,128.9861,3.4926149209726054,11.874915553226412,3.780505080320479,0.0262008733624454,42,2.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,0.1666666666666666,0.02,-17.6461,8.7796,False,0
A4IF30_O15020,-0.230206451612903,-6.69711935483871,6.79574919354839,-0.0606088709677419,2.59459596774194,28.8172438880383,0.0354330708661417,0.0826771653543307,0.0511811023622047,0.0590551181102362,0.0196850393700787,0.0433070866141732,0.114173228346457,0.0511811023622047,0.0511811023622047,0.0748031496062992,0.137795275590551,0.122047244094488,0.0354330708661417,0.0748031496062992,0.0196850393700787,0.0748031496062992,0.0354330708661417,0.0196850393700787,0.0275590551181102,0.0826771653543307,0.0984251968503937,0.326771653543307,0.161417322834646,0.177165354330709,0.232283464566929,0.0511811023622047,0.783464566929134,0.0118110236220472,0.275590551181102,0.0511811023622047,0.0196850393700787,0.0118110236220472,0.0511811023622047,0.0118110236220472,0.137795275590551,0.106299212598425,-28.5456,-830.4427999999999,842.6729,-7.515499999999999,321.7299,6.385844249813852,28.73158739968022,6.29608676847231,0.0472921434019832,124,5.0,1.0,0.0,5.0,0.0,16.0,12.0,39.0,0.314516129032258,0.14,-32.2456,8.2012,False,0
A4IF30_O43148,-0.338589928057554,0.94434964028777,-0.687401438848921,-0.0780201438848921,1.88051007194245,20.1523144199086,0.0528169014084507,0.0950704225352113,0.0809859154929578,0.0457746478873239,0.0105633802816901,0.0387323943661972,0.0809859154929578,0.0598591549295775,0.0176056338028169,0.073943661971831,0.0950704225352113,0.130281690140845,0.0598591549295775,0.0528169014084507,0.0457746478873239,0.073943661971831,0.0387323943661972,0.0316901408450704,0.0457746478873239,0.0598591549295775,0.109154929577465,0.334507042253521,0.116197183098592,0.200704225352113,0.221830985915493,0.0598591549295775,0.573943661971831,0.0316901408450704,0.45774647887324,0.102112676056338,0.0105633802816901,0.0105633802816901,0.0387323943661972,0.0105633802816901,0.158450704225352,0.0105633802816901,-47.064,131.2646,-95.5488,-10.8448,261.3909,7.04434173732535,20.20303878493128,7.035683236511903,0.2096530920060332,139,13.0,0.0,0.0,4.0,0.0,21.0,0.0,38.0,0.2733812949640288,0.32,-17.5041,11.5864,False,0
